period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3,,,
3/1/1990,0.102345416,48,469,0.102345416,48,469,,0,0,,,
6/1/1990,0.10619469,48,452,0.10619469,48,452,,0,0,,,
9/1/1990,0.099322799,44,443,0.097285068,43,442,1,1,1,,,
12/1/1990,0.084507042,36,426,0.082742317,35,423,0.333333333,1,3,,,
3/1/1991,0.073710074,30,407,0.074074074,30,405,0,0,2,,,
6/1/1991,0.058673469,23,392,0.058974359,23,390,0,0,2,,,
9/1/1991,0.051075269,19,372,0.051351351,19,370,0,0,2,,,
12/1/1991,0.038888889,14,360,0.039106145,14,358,0,0,2,,,
3/1/1992,0.025495751,9,353,0.025641026,9,351,0,0,2,,,
6/1/1992,0.028089888,10,356,0.028248588,10,354,0,0,2,,,
9/1/1992,0.030726257,11,358,0.028169014,10,355,0.333333333,1,3,,,
12/1/1992,0.029810298,11,369,0.027322404,10,366,0.333333333,1,3,,,
3/1/1993,0.035135135,13,370,0.032520325,12,369,1,1,1,,,
6/1/1993,0.025906736,10,386,0.025906736,10,386,,0,0,,,
9/1/1993,0.024390244,10,410,0.024509804,10,408,0,0,2,,,
12/1/1993,0.025287356,11,435,0.025462963,11,432,0,0,3,,,
3/1/1994,0.012987013,6,462,0.013100437,6,458,0,0,4,,,
6/1/1994,0.014492754,7,483,0.014613779,7,479,0,0,4,,,
9/1/1994,0.013916501,7,503,0.012072435,6,497,0.166666667,1,6,,,
12/1/1994,0.023483366,12,511,0.019920319,10,502,0.222222222,2,9,,,
3/1/1995,0.02303263,12,521,0.021442495,11,513,0.125,1,8,,,
6/1/1995,0.019083969,10,524,0.01744186,9,516,0.125,1,8,,,
9/1/1995,0.016917293,9,532,0.017110266,9,526,0,0,6,,,
12/1/1995,0.012635379,7,554,0.010968921,6,547,0.142857143,1,7,,,
3/1/1996,0.012367491,7,566,0.010752688,6,558,0.125,1,8,,,
6/1/1996,0.016835017,10,594,0.013745704,8,582,0.166666667,2,12,,,
9/1/1996,0.016233766,10,616,0.013333333,8,600,0.125,2,16,,,
12/1/1996,0.013888889,9,648,0.011093502,7,631,0.117647059,2,17,,,
3/1/1997,0.020123839,13,646,0.017432647,11,631,0.133333333,2,15,,,
6/1/1997,0.020802377,14,673,0.018237082,12,658,0.133333333,2,15,,,
9/1/1997,0.018258427,13,712,0.016949153,12,708,0.25,1,4,,,
12/1/1997,0.020833333,16,768,0.020915033,16,765,0,0,3,,,
3/1/1998,0.023199023,19,819,0.023284314,19,816,0,0,3,,,
6/1/1998,0.029988466,26,867,0.029036005,25,861,0.166666667,1,6,,,
9/1/1998,0.032258065,29,899,0.030235162,27,893,0.333333333,2,6,,,
12/1/1998,0.034254144,31,905,0.030066815,27,898,0.571428571,4,7,,,
3/1/1999,0.029379761,27,919,0.025191676,23,913,0.666666667,4,6,,,
6/1/1999,0.039487727,37,937,0.035445757,33,931,0.666666667,4,6,,,
9/1/1999,0.040425532,38,940,0.039529915,37,936,0.25,1,4,,,
12/1/1999,0.044791667,43,960,0.043933054,42,956,0.25,1,4,,,
3/1/2000,0.051851852,49,945,0.047008547,44,936,0.555555556,5,9,,,
6/1/2000,0.047413793,44,928,0.045602606,42,921,0.285714286,2,7,,,
9/1/2000,0.061068702,56,917,0.057268722,52,908,0.444444444,4,9,,,
12/1/2000,0.072210066,66,914,0.069536424,63,906,0.375,3,8,,,
3/1/2001,0.078299776,70,894,0.071347678,63,883,0.636363636,7,11,,,
6/1/2001,0.074626866,65,871,0.068604651,59,860,0.545454545,6,11,,,
9/1/2001,0.064478312,55,853,0.058194774,49,842,0.545454545,6,11,,,
12/1/2001,0.050420168,42,833,0.043956044,36,819,0.428571429,6,14,,,
3/1/2002,0.038647343,32,828,0.035539216,29,816,0.25,3,12,,,
6/1/2002,0.040194884,33,821,0.038130381,31,813,0.25,2,8,,,
9/1/2002,0.041820418,34,813,0.038701623,31,801,0.25,3,12,,,
12/1/2002,0.038701623,31,801,0.033036849,26,787,0.357142857,5,14,,,
3/1/2003,0.038557214,31,804,0.034090909,27,792,0.333333333,4,12,,,
6/1/2003,0.035131744,28,797,0.026785714,21,784,0.538461538,7,13,,,
9/1/2003,0.025220681,20,793,0.019181586,15,782,0.454545455,5,11,,,
12/1/2003,0.02366127,19,803,0.015247776,12,787,0.4375,7,16,,,
3/1/2004,0.024183797,20,827,0.020858896,17,815,0.25,3,12,,,
6/1/2004,0.018890201,16,847,0.017964072,15,835,0.083333333,1,12,,,
9/1/2004,0.022485207,19,845,0.020408163,17,833,0.166666667,2,12,,,
12/1/2004,0.020761246,18,867,0.019883041,17,855,0.083333333,1,12,,,
3/1/2005,0.022067364,19,861,0.021201413,18,849,0.083333333,1,12,,,
6/1/2005,0.021689498,19,876,0.019721578,17,862,0.142857143,2,14,,,
9/1/2005,0.016930023,15,886,0.013808976,12,869,0.176470588,3,17,,,
12/1/2005,0.017524644,16,913,0.013407821,12,895,0.222222222,4,18,,,
3/1/2006,0.015486726,14,904,0.011273957,10,887,0.235294118,4,17,,,
6/1/2006,0.010989011,10,910,0.008879023,8,901,0.222222222,2,9,,,
9/1/2006,0.012359551,11,890,0.010215664,9,881,0.222222222,2,9,,,
12/1/2006,0.008839779,8,905,0.006666667,6,900,0.4,2,5,,,
3/1/2007,0.017297297,16,925,0.014145811,13,919,0.5,3,6,,,
6/1/2007,0.028242678,27,956,0.025236593,24,951,0.6,3,5,,,
9/1/2007,0.035823951,35,977,0.032921811,32,972,0.6,3,5,,,
12/1/2007,0.044579534,44,987,0.039877301,39,978,0.555555556,5,9,,,
3/1/2008,0.070264766,69,982,0.061983471,60,968,0.642857143,9,14,,,
6/1/2008,0.128630705,124,964,0.117894737,112,950,0.857142857,12,14,,,
9/1/2008,0.150368034,143,951,0.139658849,131,938,0.923076923,12,13,,,
12/1/2008,0.163793103,152,928,0.142222222,128,900,0.857142857,24,28,,,
3/1/2009,0.14541387,130,894,0.110718492,94,849,0.8,36,45,,,
6/1/2009,0.083941606,69,822,0.058449809,46,787,0.657142857,23,35,,,
9/1/2009,0.052896725,42,794,0.034031414,26,764,0.533333333,16,30,,,
12/1/2009,0.038265306,30,784,0.027631579,21,760,0.375,9,24,,,
3/1/2010,0.032679739,25,765,0.024193548,18,744,0.333333333,7,21,,,
6/1/2010,0.02685422,21,782,0.019582245,15,766,0.375,6,16,,,
9/1/2010,0.026785714,21,784,0.022077922,17,770,0.285714286,4,14,,,
12/1/2010,0.02366127,19,803,0.01774398,14,789,0.357142857,5,14,,,
3/1/2011,0.026347305,22,835,0.023030303,19,825,0.3,3,10,,,
6/1/2011,0.032482599,28,862,0.025851939,22,851,0.545454545,6,11,,,
9/1/2011,0.03207331,28,873,0.022118743,19,859,0.642857143,9,14,,,
12/1/2011,0.028901734,25,865,0.021101993,18,853,0.583333333,7,12,,,
3/1/2012,0.03033839,26,857,0.023612751,20,847,0.6,6,10,,,
6/1/2012,0.027586207,24,870,0.018648019,16,858,0.666666667,8,12,,,
9/1/2012,0.028506271,25,877,0.017401392,15,862,0.666666667,10,15,,,
12/1/2012,0.02640264,24,909,0.012331839,11,892,0.764705882,13,17,,,
3/1/2013,0.019565217,18,920,0.008830022,8,906,0.714285714,10,14,,,
6/1/2013,0.021321962,20,938,0.015053763,14,930,0.75,6,8,,,
9/1/2013,0.018046709,17,942,0.012847966,12,934,0.625,5,8,,,
12/1/2013,0.017241379,17,986,0.011247444,11,978,0.75,6,8,,,
3/1/2014,0.01928934,19,985,0.013278856,13,979,1,6,6,,,
6/1/2014,0.011,11,1000,0.008024072,8,997,1,3,3,,,
9/1/2014,0.012720157,13,1022,0.008849558,9,1017,0.8,4,5,,,
12/1/2014,0.011483254,12,1045,0.006730769,7,1040,1,5,5,,,
3/1/2015,0.009643202,10,1037,0.007736944,8,1034,0.666666667,2,3,,,
6/1/2015,0.015267176,16,1048,0.013397129,14,1045,0.666666667,2,3,,,
9/1/2015,0.013195099,14,1061,0.011352886,12,1057,0.5,2,4,,,
12/1/2015,0.016221374,17,1048,0.014381592,15,1043,0.4,2,5,,,
3/1/2016,0.017492711,18,1029,0.011753183,12,1021,0.75,6,8,,,
